order_id,is_prepaid,city_tier,past_cod_rejections,order_value,item_category,address_text,address_completeness,order_hour,is_weekend,rejected
ORD00001,0,2,1,460.0,home,"H.No. 8, Nehru Nagar, Guwahati, 628514",90,22,0,0
ORD00002,1,3,1,760.0,fashion,"Ashok Vihar, Mumbai, 604370",63,21,0,0
ORD00003,1,3,0,1060.0,home,"Door No. 5, Park Street, Pune, 517846",90,21,1,1
ORD00004,1,1,3,430.0,fashion,"Flat 4B, Park Street, Opposite Petrol Pump, Ranchi, 225874",100,8,0,0
ORD00005,0,1,1,1060.0,fashion,"23, Lake View Lane, Near Water Tank, Indore",77,14,1,0
ORD00006,0,1,0,690.0,fashion,"H.No. 8, Station Road, Near Water Tank, Kanpur",77,5,1,0
ORD00007,0,2,2,1250.0,home,"Flat 4B, Church Street, Near Govt School, Bhopal, 656286",100,15,1,1
ORD00008,1,2,0,590.0,fashion,"Plot No. 17, Lake View Lane, Near City Hospital, Lucknow, 192186",100,6,1,1
ORD00009,1,2,1,840.0,electronics,"H.No. 8, Station Road, Near Water Tank, Mirzapur, 644764",100,14,0,0
ORD00010,1,1,0,650.0,accessories,"23, Lake View Lane, Near City Hospital, Patna, 571389",100,22,0,0
ORD00011,0,1,2,630.0,beauty,"23, Nehru Nagar, Behind Central Mall, Kanpur, 226639",100,1,0,0
ORD00012,1,2,0,780.0,fashion,"Flat 4B, Sector 12, Near Govt School, Mumbai, 319200",100,7,0,0
ORD00013,1,2,1,920.0,fashion,"H.No. 8, Model Colony, Opposite SBI Bank, Jaipur",77,11,0,0
ORD00014,0,1,0,310.0,beauty,"Door No. 5, Station Road, Mumbai, 157369",90,10,0,0
ORD00015,0,2,1,1570.0,accessories,"Door No. 5, Sector 12, Opposite SBI Bank, Mumbai, 260104",100,5,0,0
ORD00016,0,1,2,220.0,fashion,"Door No. 5, MG Road, Near City Hospital, Patna, 557220",100,19,0,0
ORD00017,0,3,0,440.0,grocery,"Plot No. 17, Park Street, Bhopal",67,12,0,0
ORD00018,0,3,1,630.0,home,"Door No. 5, Ashok Vihar, Opposite SBI Bank, Guwahati, 400476",100,22,0,1
ORD00019,0,1,0,850.0,home,"Plot No. 17, Lake View Lane, Patna, 564554",90,15,0,0
ORD00020,0,1,3,1710.0,accessories,"Flat 4B, Lake View Lane, Near City Hospital, Guwahati, 163256",100,7,0,0
ORD00021,1,2,0,220.0,beauty,"Gandhi Marg, Near City Hospital, Indore",50,16,0,0
ORD00022,0,1,2,490.0,accessories,"Door No. 5, Park Street, Nagpur, 585282",90,12,1,0
ORD00023,0,2,2,200.0,electronics,"23, Station Road, Near Govt School, Kanpur, 334721",100,3,0,0
ORD00024,0,3,0,680.0,home,"Flat 4B, Model Colony, Behind Central Mall, Jaipur, 738644",100,19,1,0
ORD00025,0,2,0,780.0,beauty,"Door No. 5, Nehru Nagar, Opposite SBI Bank, Pune, 509228",100,9,0,0
ORD00026,1,3,0,1730.0,electronics,"Plot No. 17, Lake View Lane, Lucknow, 137506",90,21,0,0
ORD00027,0,2,2,720.0,home,"Flat 4B, Gandhi Marg, Patna, 130548",90,19,0,1
ORD00028,0,1,0,1240.0,fashion,"Plot No. 17, Church Street, Indore",67,15,0,0
ORD00029,1,2,0,940.0,fashion,"Plot No. 17, Model Colony, Guwahati",67,16,0,0
ORD00030,0,2,2,510.0,electronics,"Flat 4B, Church Street, Mirzapur, 610685",90,7,1,1
ORD00031,1,2,0,290.0,beauty,"Ashok Vihar, Opposite SBI Bank, Guwahati, 332084",73,10,1,0
ORD00032,0,1,1,780.0,accessories,"Plot No. 17, Ashok Vihar, Near Water Tank, Patna, 478971",100,4,1,0
ORD00033,0,1,0,270.0,electronics,"Plot No. 17, MG Road, Bhopal, 624703",90,20,0,0
ORD00034,1,3,0,1450.0,beauty,"H.No. 8, Park Street, Guwahati",67,15,0,1
ORD00035,1,1,2,600.0,fashion,"23, Church Street, Near City Hospital, Mirzapur",77,23,0,0
ORD00036,1,3,0,1360.0,accessories,"Church Street, Ranchi",40,7,0,0
ORD00037,0,3,0,500.0,home,"23, Gandhi Marg, Behind Central Mall, Lucknow, 202550",100,20,1,0
ORD00038,0,3,2,780.0,grocery,"23, Ashok Vihar, Near Water Tank, Pune, 315003",100,15,0,0
ORD00039,1,2,0,750.0,grocery,"H.No. 8, Ashok Vihar, Opposite Petrol Pump, Jaipur",77,3,1,0
ORD00040,0,2,4,650.0,fashion,"Door No. 5, Nehru Nagar, Bhopal",67,5,0,0
ORD00041,0,3,4,510.0,home,"23, Lake View Lane, Mumbai",67,20,0,1
ORD00042,0,1,0,840.0,accessories,"Plot No. 17, Nehru Nagar, Indore, 642461",90,7,1,0
ORD00043,0,2,0,380.0,fashion,"Plot No. 17, Gandhi Marg, Mirzapur, 845079",90,8,1,0
ORD00044,1,2,1,320.0,beauty,"Door No. 5, Church Street, Near Govt School, Indore, 723520",100,12,0,0
ORD00045,0,2,0,1400.0,accessories,"Door No. 5, Church Street, Mumbai",67,16,0,0
ORD00046,1,2,0,1030.0,electronics,"Door No. 5, Gandhi Marg, Indore, 351623",90,8,0,0
ORD00047,0,2,1,690.0,accessories,"Gandhi Marg, Opposite Petrol Pump, Mumbai",50,12,0,1
ORD00048,0,2,0,1810.0,accessories,"Plot No. 17, Gandhi Marg, Pune, 213533",90,8,1,0
ORD00049,0,3,3,570.0,beauty,"Door No. 5, Church Street, Bhopal, 228288",90,5,0,1
ORD00050,0,1,0,1470.0,fashion,"Nehru Nagar, Near City Hospital, Guwahati, 770556",73,9,0,0
ORD00051,1,3,0,740.0,electronics,"Flat 4B, Station Road, Bhopal",67,4,0,0
ORD00052,1,2,0,360.0,fashion,"Lake View Lane, Jaipur, 598235",63,6,0,0
ORD00053,1,3,4,2020.0,grocery,"Plot No. 17, Gandhi Marg, Bhopal, 216153",90,10,0,0
ORD00054,1,2,1,1210.0,grocery,"Flat 4B, Gandhi Marg, Opposite SBI Bank, Patna",77,23,1,0
ORD00055,1,3,2,620.0,beauty,"H.No. 8, Lake View Lane, Ranchi",67,8,0,0
ORD00056,1,1,0,1030.0,electronics,"H.No. 8, Lake View Lane, Kanpur, 188221",90,9,1,0
ORD00057,0,3,0,520.0,fashion,"23, Ashok Vihar, Indore, 213726",90,10,0,0
ORD00058,0,1,0,1090.0,grocery,"Plot No. 17, MG Road, Nagpur",67,2,1,0
ORD00059,0,3,0,200.0,beauty,"Flat 4B, MG Road, Bhopal",67,7,1,1
ORD00060,0,3,1,360.0,accessories,"23, Model Colony, Opposite SBI Bank, Pune",77,16,0,0
ORD00061,0,1,1,1200.0,beauty,"Door No. 5, Nehru Nagar, Near Water Tank, Guwahati, 226076",100,6,0,1
ORD00062,0,1,0,570.0,grocery,"23, Model Colony, Behind Central Mall, Pune",77,11,0,0
ORD00063,1,3,4,750.0,beauty,"Door No. 5, MG Road, Pune, 224400",90,15,0,0
ORD00064,0,1,0,300.0,beauty,"Flat 4B, Model Colony, Lucknow, 509032",90,14,1,0
ORD00065,0,3,4,2020.0,electronics,"23, Park Street, Near Govt School, Patna, 437306",100,20,0,1
ORD00066,0,1,0,1360.0,accessories,"Plot No. 17, Model Colony, Behind Central Mall, Nagpur, 705876",100,12,0,0
ORD00067,0,1,0,590.0,beauty,"Plot No. 17, Church Street, Opposite Petrol Pump, Nagpur, 802665",100,17,0,0
ORD00068,1,3,0,520.0,electronics,"Nehru Nagar, Pune, 726952",63,17,0,0
ORD00069,0,2,0,1230.0,fashion,"Plot No. 17, Ashok Vihar, Nagpur, 780014",90,23,0,0
ORD00070,1,3,1,2190.0,fashion,"Plot No. 17, Park Street, Opposite SBI Bank, Guwahati, 565653",100,4,0,0
ORD00071,1,2,0,1180.0,home,"Flat 4B, Model Colony, Near Govt School, Ranchi, 608831",100,13,1,0
ORD00072,0,2,0,2450.0,fashion,"Flat 4B, MG Road, Opposite Petrol Pump, Mumbai, 773030",100,10,0,0
ORD00073,0,2,1,380.0,fashion,"Plot No. 17, MG Road, Behind Central Mall, Guwahati, 685757",100,2,0,1
ORD00074,1,2,1,410.0,home,"Flat 4B, Church Street, Near Water Tank, Nagpur, 177197",100,16,1,1
ORD00075,1,2,2,330.0,fashion,"H.No. 8, MG Road, Near Govt School, Pune, 729356",100,22,0,1
ORD00076,1,2,0,870.0,grocery,"Door No. 5, Station Road, Indore",67,11,1,0
ORD00077,1,2,1,740.0,electronics,"Door No. 5, Lake View Lane, Opposite SBI Bank, Guwahati",77,2,1,0
ORD00078,0,1,1,610.0,home,"Plot No. 17, Station Road, Pune",67,22,1,0
ORD00079,0,3,0,1080.0,fashion,"23, Sector 12, Mumbai, 281765",90,1,0,1
ORD00080,0,1,0,1390.0,electronics,"Flat 4B, Ashok Vihar, Opposite SBI Bank, Nagpur",77,3,1,0
ORD00081,1,2,0,270.0,electronics,"H.No. 8, Station Road, Opposite SBI Bank, Nagpur, 567478",100,17,1,0
ORD00082,1,1,0,460.0,grocery,"23, Church Street, Opposite Petrol Pump, Guwahati, 422736",100,19,1,0
ORD00083,0,2,0,1090.0,grocery,"Lake View Lane, Indore, 227285",63,20,0,0
ORD00084,0,2,0,500.0,fashion,"Plot No. 17, Lake View Lane, Guwahati, 532854",90,13,0,0
ORD00085,0,1,1,410.0,beauty,"Station Road, Opposite Petrol Pump, Kanpur, 406627",73,7,0,1
ORD00086,0,1,1,1230.0,fashion,"H.No. 8, Nehru Nagar, Near City Hospital, Kanpur, 847891",100,1,0,0
